Time	Heart Rate
12:44:26	82
12:44:31	84
12:44:41	85
12:44:46	88
12:44:51	89
12:45:01	88
12:45:06	89
12:45:11	90
12:45:26	91
12:45:31	89
12:45:36	88
12:45:41	89
12:45:48	90
12:45:58	92
12:46:03	91
12:46:13	90
12:46:28	90
12:46:43	90
12:46:53	89
12:47:08	90
12:47:18	91
12:47:23	90
12:47:28	91
12:47:38	92
12:47:53	92
12:47:58	108
12:48:03	107
12:48:13	106
12:48:18	104
12:48:28	100
12:48:38	98
12:48:53	98
12:49:03	97
12:49:13	96
12:49:18	97
12:49:28	96
12:49:43	96
12:49:45	96
12:49:55	95
12:50:00	94
12:50:05	93
12:50:20	94
12:50:25	94
12:50:30	95
12:50:45	95
12:51:00	96
12:51:05	95
12:51:20	96
12:51:30	95
12:51:40	94
12:51:45	94
12:51:55	94
12:52:05	93
12:52:10	93
12:52:15	95
12:52:30	95
12:52:45	93
12:53:00	93
12:53:05	94
12:53:10	93
12:53:20	94
12:53:25	95
12:53:30	96
12:53:45	94
12:53:48	94
12:53:53	92
12:53:58	92
12:54:08	93
12:54:23	93
12:54:28	94
12:54:33	93
12:54:38	92
12:54:48	91
12:54:53	90
12:55:03	91
12:55:08	93
12:55:18	92
12:55:23	92
12:55:28	91
12:55:33	92
12:55:48	93
12:55:53	95
12:55:58	94
12:56:13	94
12:56:28	94
12:56:38	96
12:56:48	95
12:56:53	96
12:56:58	97
12:57:13	97
12:57:18	98
12:57:25	98
12:57:35	100
12:57:40	99
12:57:45	100
12:57:50	99
12:57:55	100
12:58:00	97
12:58:05	96
12:58:10	95
12:58:15	97
12:58:20	98
12:58:35	96
12:58:45	96
12:59:00	96
12:59:05	97
12:59:10	98
12:59:20	99
12:59:25	100
12:59:30	101
12:59:35	99
12:59:40	100
12:59:45	101
12:59:50	103
12:59:55	104
13:00:05	102
13:00:10	102
13:00:25	98
13:00:26	98
13:00:31	97
13:00:36	96
13:00:41	95
13:00:56	95
13:01:11	93
13:01:26	93
13:01:41	93
13:01:56	93
13:02:06	94
13:02:11	95
13:02:16	96
13:02:21	98
13:02:26	97
13:02:31	94
13:02:36	95
13:02:41	100
13:02:56	98
13:03:01	100
13:03:06	102
13:03:11	103
13:03:16	105
13:03:21	106
13:03:31	107
13:03:36	106
13:03:41	107
13:03:46	108
13:03:53	107
13:03:58	106
13:04:03	106
13:04:08	105
13:04:18	107
13:04:23	105
13:04:28	104
13:04:33	98
13:04:38	99
13:04:43	96
13:04:48	91
13:05:03	91
13:05:18	91
13:05:23	85
13:05:28	75
13:05:33	78
13:05:38	81
13:05:43	79
13:05:48	81
13:06:03	81
13:06:18	84
13:06:28	85
13:06:33	88
13:06:38	89
13:06:43	92
13:06:58	93
13:07:00	93
13:07:05	90
13:07:10	91
13:07:15	90
13:07:25	89
13:07:35	86
13:07:40	85
13:07:50	82
13:07:55	82
13:08:00	75
13:08:05	77
13:08:10	81
13:08:15	81
13:08:25	82
13:08:30	83
13:08:35	84
13:08:40	86
13:08:45	87
13:08:50	88
13:08:55	89
13:09:00	92
13:09:15	90
13:09:20	88
13:09:25	88
13:09:40	87
13:09:55	86
13:10:00	84
13:10:06	85
13:10:11	88
13:10:21	88
13:10:26	89
13:10:36	90
13:10:46	91
13:11:01	90
13:11:06	91
13:11:16	92
13:11:21	91
13:11:26	87
13:11:36	86
13:11:41	88
13:11:46	90
13:11:56	88
13:12:01	89
13:12:06	90
13:12:21	89
13:12:31	88
13:12:36	90
13:12:41	92
13:12:46	94
13:12:51	95
13:12:56	92
13:13:01	91
13:13:06	89
13:13:11	88
13:13:18	89
13:13:23	90
13:13:38	90
13:13:43	89
13:13:53	89
13:13:58	88
13:14:13	88
13:14:18	86
13:14:23	86
13:14:28	85
13:14:38	87
13:14:43	85
13:14:48	86
13:14:53	87
13:14:58	84
13:15:13	84
13:15:28	85
13:15:43	85
13:15:48	85
13:16:03	86
13:16:08	80
13:16:18	82
13:16:28	81
13:16:38	78
13:16:48	78
13:17:03	77
13:17:08	78
13:17:15	80
13:17:20	81
13:17:25	82
13:17:30	83
13:17:35	86
13:17:45	85
13:17:55	83
13:18:05	84
13:18:10	86
13:18:15	87
13:18:20	88
13:18:25	86
13:18:30	83
13:18:35	84
13:18:40	85
13:18:45	84
13:18:50	86
13:18:55	88
13:19:00	87
13:19:10	85
13:19:15	84
13:19:30	83
13:19:40	82
13:19:45	83
13:19:50	83
13:20:00	82
13:20:10	84
13:20:17	86
13:20:22	85
13:20:27	86
13:20:32	87
13:20:37	88
13:20:42	90
13:20:57	91
13:21:02	87
13:21:07	88
13:21:12	89
13:21:27	90
13:21:32	91
13:21:37	92
13:21:42	91
13:21:52	92
13:22:02	94
13:22:07	93
13:22:12	95
13:22:22	96
13:22:27	95
13:22:32	96
13:22:37	98
13:22:42	99
13:22:47	100
13:23:02	105
13:23:07	107
13:23:17	108
13:23:24	108
13:23:29	108
13:23:34	111
13:23:39	114
13:23:44	115
13:23:49	114
13:23:54	113
13:23:59	114
13:24:04	116
13:24:09	113
13:24:14	112
13:24:19	113
13:24:24	109
13:24:29	110
13:24:34	108
13:24:39	110
13:24:44	111
13:24:54	110
13:24:59	110
13:25:04	111
13:25:09	110
13:25:14	109
13:25:24	108
13:25:29	105
13:25:34	104
13:25:49	100
13:26:04	99
13:26:05	99
13:26:15	101
13:26:25	99
13:26:35	98
13:26:40	96
13:26:45	96
13:27:00	96
13:27:05	98
13:27:10	101
13:27:15	103
13:27:20	106
13:27:35	108
13:27:40	107
13:27:45	110
13:27:50	107
13:27:55	106
13:28:00	105
13:28:05	106
13:28:10	105
13:28:15	104
13:28:20	106
13:28:25	109
13:28:30	110
13:28:40	107
13:28:45	108
13:28:50	109
13:29:00	110
13:29:07	111
13:29:12	112
13:29:17	111
13:29:27	112
